ee_number,job_title,current_employment_status,project_code,original_hire_date,last_hire_date,los_in_days,termination_date,reason_code,left,fired,flsa_binary,Days_Since_Promotion,Days_Since_Demotion,Days_Since_Rehire,Days_Since_TransferIn,Days_Since_TransferOut,Days_Since_NewHire
310464,General Superintendent,T,55081,07/10/23,07/10/23,500,11/21/2024,Performance,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,540
310498,Helper Renewables,T,55097,07/10/23,07/10/23,204,01/30/2024,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,449,NoEvent,540
310498,Helper Renewables,T,55097,07/10/23,07/10/23,204,01/30/2024,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,435,NoEvent,540
310544,Operator Renewables,T,55085,07/06/23,07/06/23,159,12/12/23,Excessive Absenteeism,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,544
310554,Operator Renewables,T,55085,07/06/23,07/06/23,35,08/10/23,Policy Viol-Drug/Alcohol,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,544
310555,Mechanic Field,A,Not Applicable,07/06/23,07/06/23,602,Unknown,Unknown,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent
310576,Laborer Renewables,T,55089,07/06/23,01/16/2024,2,01/18/2024,No Call-No Show,0,1,1,NoEvent,NoEvent,350,NoEvent,NoEvent,544
310579,Helper Renewables,T,55093,07/06/23,07/06/23,1,07/07/23,No Call-No Show,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,544
310585,Laborer Renewables,T,55089,02/21/2024,02/21/2024,70,05/01/24,No Call-No Show,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,314
310588,Laborer Renewables,T,55094,03/12/24,03/12/24,249,11/16/2024,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,294
310592,Laborer Renewables,T,55081,08/25/2023,08/25/2023,22,09/16/2023,Policy Viol-Other,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,494
310631,Laborer Renewables,T,55093,07/06/23,07/06/23,42,08/17/2023,Personal/Family,1,0,0,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,544
310644,Laborer Renewables,T,55305,07/06/23,07/06/23,34,08/09/23,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,544
310673,Laborer Renewables,T,55311,07/07/23,09/12/23,100,12/21/2023,Resignation,1,0,1,NoEvent,NoEvent,476,439,NoEvent,543
310716,Laborer Renewables,T,55090,07/12/23,07/12/23,9,07/21/2023,No Call-No Show,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,538
310718,Laborer Renewables,T,55090,07/11/23,07/11/23,83,10/02/23,Excessive Absenteeism,0,1,1,470,NoEvent,NoEvent,NoEvent,NoEvent,539
310729,HSE Site Technician,A,55106,07/10/23,02/24/2025,3,Unknown,Unknown,0,0,1,414,NoEvent,-55,400,NoEvent,540
310759,Laborer Renewables,T,55094,07/13/2023,07/13/2023,502,11/26/2024,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,287,NoEvent,537
310794,Laborer Renewables,T,55093,07/11/23,07/11/23,2,07/13/2023,Other Job,1,0,0,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,539
310812,Helper Renewables,T,55305,07/10/23,07/10/23,4,07/14/2023,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,540
310820,Helper Renewables,T,55305,07/10/23,07/10/23,46,08/25/2023,Lack of Work,0,0,0,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,540
309894,Laborer Renewables,A,55086,06/13/2023,06/13/2023,625,Unknown,Unknown,0,0,1,71,NoEvent,NoEvent,138,NoEvent,567
309902,Laborer Renewables,A,55113,06/15/2023,02/03/25,24,Unknown,Unknown,0,0,1,NoEvent,NoEvent,50,287,NoEvent,565
309902,Laborer Renewables,A,55113,06/15/2023,02/03/25,24,Unknown,Unknown,0,0,1,NoEvent,NoEvent,-34,287,NoEvent,565
309909,Intern,T,Not Applicable,06/19/2023,06/19/2023,340,05/24/2024,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,561
309914,Laborer Renewables,T,55105,06/13/2023,07/01/24,212,01/29/2025,Lack of Work,0,0,1,NoEvent,NoEvent,183,NoEvent,NoEvent,567
309937,Laborer Renewables,T,55093,06/15/2023,06/15/2023,60,08/14/2023,Return to School,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,565
309951,Laborer Renewables,A,55094,06/12/23,06/12/23,626,Unknown,Unknown,0,0,1,NoEvent,NoEvent,NoEvent,428,NoEvent,568
309991,Laborer Renewables,T,55094,06/15/2023,06/15/2023,520,11/16/2024,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,279,NoEvent,565
310053,Laborer Renewables,T,55310,06/19/2023,06/19/2023,39,07/28/2023,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,561
310068,Foreman Renewables,T,55100,06/20/2023,06/20/2023,516,11/17/2024,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,407,NoEvent,560
310068,Foreman Renewables,T,55100,06/20/2023,06/20/2023,516,11/17/2024,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,253,NoEvent,560
310068,Foreman Renewables,T,55100,06/20/2023,06/20/2023,516,11/17/2024,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,154,NoEvent,560
310068,Foreman Renewables,T,55100,06/20/2023,06/20/2023,516,11/17/2024,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,84,NoEvent,560
310079,Laborer Renewables,T,55093,06/20/2023,06/20/2023,16,07/06/23,No Call-No Show,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,560
310087,Laborer Renewables,T,55093,06/20/2023,06/20/2023,10,06/30/2023,No Call-No Show,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,560
310094,Laborer Renewables,T,55093,06/20/2023,06/20/2023,34,07/24/2023,No Call-No Show,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,560
310142,Helper Renewables,T,55100,06/19/2023,10/16/2024,10,10/26/2024,Lack of Work,0,0,1,NoEvent,NoEvent,76,NoEvent,NoEvent,561
310149,Laborer Renewables,T,55305,06/22/2023,06/22/2023,32,07/24/2023,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,558
310161,Laborer Renewables,T,55117,06/22/2023,09/17/2024,150,02/14/2025,Lack of Work,0,0,1,NoEvent,NoEvent,105,484,NoEvent,558
310161,Laborer Renewables,T,55117,06/22/2023,09/17/2024,150,02/14/2025,Lack of Work,0,0,1,NoEvent,NoEvent,105,293,NoEvent,558
310211,Laborer Renewables,T,55310,06/19/2023,06/19/2023,53,08/11/23,No Call-No Show,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,561
310214,Laborer Renewables,T,55093,06/27/2023,06/27/2023,143,11/17/2023,No Call-No Show,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,553
310225,Laborer Renewables,T,55117,06/27/2023,06/18/2024,135,10/31/2024,Lack of Work,0,0,1,NoEvent,NoEvent,196,428,NoEvent,553
310252,Laborer Renewables,T,55076,06/27/2023,06/27/2023,0,06/27/2023,Personal/Family,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,553
310266,Operator Renewables,T,55310,06/27/2023,06/27/2023,38,08/04/23,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,553
310287,Laborer Renewables,T,55076,06/27/2023,06/27/2023,4,07/01/23,Personal/Family,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,553
310345,Laborer Renewables,T,55143,06/27/2023,06/27/2023,531,12/09/24,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,278,NoEvent,553
310345,Laborer Renewables,T,55143,06/27/2023,06/27/2023,531,12/09/24,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,64,NoEvent,553
