EE #,FLSA Category,PR Dept,HireDate,Reason,Craft Class Code,Project Code
306042,Non-Exempt,4104,03/16/2023,New hire,18-40-1002,55076.0
307090,Non-Exempt,4104,04/11/2023,New hire,18-41-1001,55093.0
318075,Non-Exempt,4104,02/20/2024,New hire,18-8-1005,55094.0
331560,Non-Exempt,4104,01/27/2025,New hire,18-30-1003,55091.0
321354,Non-Exempt,4104,05/15/2024,New hire,18-40-1002,55086.0
315994,Non-Exempt,4104,11/28/2023,New hire,18-73-1003,55720.0
300180,Non-Exempt,4104,09/13/2022,New hire,18-198-501,55089.0
306669,Non-Exempt,4104,03/28/2023,New hire,18-195-402,55109.0
320064,Non-Exempt,4104,04/17/2024,New hire,18-199-501,55117.0
307747,Non-Exempt,4104,05/23/2023,New hire,18-30-1003,55100.0
322719,Non-Exempt,4104,06/11/2024,New hire,18-40-1002,55123.0
314225,Non-Exempt,4104,09/26/2023,New hire,18-41-1002,55075.0
325644,Non-Exempt,4104,08/28/2024,New hire,18-197-400,55105.0
307529,Non-Exempt,4104,04/19/2023,New hire,18-40-1001,55085.0
307404,Non-Exempt,4104,04/18/2023,New hire,18-47-402,55138.0
307524,Non-Exempt,4104,04/19/2023,New hire,18-40-1001,55085.0
321573,Non-Exempt,4104,05/21/2024,New hire,18-41-1003,55100.0
303978,Non-Exempt,4104,01/05/2023,New hire,18-797-600,55105.0
329072,Non-Exempt,4104,10/22/2024,New hire,18-199-401,55117.0
314218,Non-Exempt,4104,09/26/2023,New hire,18-41-1002,55075.0
307606,Non-Exempt,4104,04/24/2023,New hire,18-47-101,55109.0
310793,Non-Exempt,4104,07/10/2023,New hire,18-745-600,55117.0
319932,Non-Exempt,4104,04/24/2024,New hire,18-197-400,55123.0
312960,Non-Exempt,4104,08/24/2023,New hire,18-197-400,55105.0
330817,Non-Exempt,4104,01/07/2025,New hire,18-41-1001,55091.0
317725,Non-Exempt,4104,02/08/2024,New hire,18-40-1002,55089.0
317808,Non-Exempt,4104,02/14/2024,New hire,18-197-400,55105.0
328721,Non-Exempt,4104,10/16/2024,New hire,18-47-401,55143.0
319145,Non-Exempt,4104,04/01/2024,New hire,18-5-5030,55109.0
301218,Non-Exempt,4104,10/11/2022,New hire,18-40-1001,55086.0
328699,Non-Exempt,4104,10/16/2024,New hire,18-47-102,55143.0
328585,Non-Exempt,4104,10/14/2024,New hire,18-41-1003,55100.0
311454,Non-Exempt,4104,07/27/2023,New hire,18-4-S429,55106.0
301219,Non-Exempt,4104,10/11/2022,New hire,18-47-400,55109.0
325575,Non-Exempt,4104,08/27/2024,New hire,18-30-1003,55105.0
320455,Non-Exempt,4104,04/23/2024,New hire,18-18-1023,55105.0
291869,Non-Exempt,4104,12/08/2021,New hire,18-40-1002,55076.0
291287,Non-Exempt,4104,11/02/2021,New hire,18-40-1002,55075.0
309292,Non-Exempt,4104,05/25/2023,New hire,18-40-1001,55094.0
291285,Non-Exempt,4104,11/02/2021,New hire,18-40-1002,55075.0
317069,Non-Exempt,4104,01/18/2024,New hire,18-40-1001,55087.0
307683,Non-Exempt,4104,04/24/2023,New hire,18-40-1001,55085.0
323807,Non-Exempt,4104,07/01/2024,New hire,18-47-403,55138.0
325812,Non-Exempt,4104,09/04/2024,New hire,18-8-1004,55094.0
323401,Non-Exempt,4104,06/25/2024,New hire,18-47-500,55109.0
307483,Non-Exempt,4104,04/19/2023,New hire,18-40-1001,55093.0
328717,Non-Exempt,4104,10/14/2024,New hire,18-41-1003,55100.0
283670,Non-Exempt,4104,09/17/2024,New hire,18-47-400,55109.0
323791,Non-Exempt,4104,07/01/2024,New hire,18-745-100,55117.0
301034,Non-Exempt,4104,10/06/2022,New hire,18-30-1002,55094.0
308980,Non-Exempt,4104,05/23/2023,New hire,18-47-401,55143.0
319174,Non-Exempt,4104,03/19/2024,New hire,18-41-1003,55094.0
323501,Non-Exempt,4104,06/11/2024,New hire,18-41-1002,55091.0
307626,Non-Exempt,4104,04/18/2023,New hire,18-41-1002,55123.0
282946,Non-Exempt,4104,01/05/2023,New hire,18-40-1002,55087.0
318669,Non-Exempt,4104,03/07/2024,New hire,18-41-1003,55100.0
308981,Non-Exempt,4104,05/23/2023,New hire,18-40-1001,55093.0
323413,Non-Exempt,4104,06/25/2024,New hire,18-47-101,55109.0
